Gateway,Satellites (Original),Satellites (Removed),Lost Satellites,Original Count,Removed Count,Lost Count
0,[1525],[1525],[],1,1,0
1,"[144, 440]","[144, 440]",[],2,2,0
2,"[5, 28, 96, 1454, 1568]","[5, 28, 96, 1454, 1568]",[],5,5,0
3,"[142, 302, 1500]","[142, 302, 1500]",[],3,3,0
4,"[75, 394]","[75, 394]",[],2,2,0
5,"[188, 256, 1546]","[188, 256, 1546]",[],3,3,0
6,"[234, 257]","[234, 257]",[],2,2,0
7,"[210, 1386]","[210, 1386]",[],2,2,0
8,"[51, 97]","[51, 97]",[],2,2,0
9,"[74, 120, 165]","[74, 120, 165]",[],3,3,0
10,[416],[416],[],1,1,0
11,[347],[347],[],1,1,0
12,"[279, 325]","[279, 325]",[],2,2,0
13,"[553, 576, 1480, 1503, 1526]","[553, 576, 1480, 1503, 1526]",[],5,5,0
14,"[53, 76]","[53, 76]",[],2,2,0
15,[1571],[1571],[],1,1,0
16,[417],[417],[],1,1,0
17,[484],[484],[],1,1,0
18,"[301, 392]","[301, 392]",[],2,2,0
19,"[98, 235]","[98, 235]",[],2,2,0
20,[1479],[],[1479],1,0,1
21,[29],[29],[],1,1,0
22,[348],[348],[],1,1,0
23,"[187, 233]","[187, 233]",[],2,2,0
24,"[1457, 1548]","[1457, 1548]",[],2,2,0
25,[371],[371],[],1,1,0
26,[531],[531],[],1,1,0
27,"[121, 349]","[121, 349]",[],2,2,0
28,"[122, 190, 213, 258, 281, 304, 326, 395, 418, 509]","[122, 190, 213, 258, 281, 304, 326, 395, 418, 509]",[],10,10,0
29,"[8, 508]","[8, 508]",[],2,2,0
30,[189],[189],[],1,1,0
31,[303],[303],[],1,1,0
32,[461],[461],[],1,1,0
33,[280],[280],[],1,1,0
34,[7],[7],[],1,1,0
35,"[52, 1547]","[52, 1547]",[],2,2,0
36,"[1388, 1411, 1434]","[1388, 1411, 1434]",[],3,3,0
37,"[530, 1502]","[530, 1502]",[],2,2,0
38,"[370, 1364]","[370, 1364]",[],2,2,0
39,"[1409, 1523]","[1409, 1523]",[],2,2,0
40,"[119, 211, 1477, 1478]","[119, 211, 1477, 1478]",[],4,4,0
41,"[278, 324, 1341]","[278, 324, 1341]",[],3,3,0
42,[507],[507],[],1,1,0
43,"[143, 166]","[143, 166]",[],2,2,0
44,"[415, 1410]","[415, 1410]",[],2,2,0
45,[438],[438],[],1,1,0
46,"[1501, 1569]","[1501, 1569]",[],2,2,0
47,"[439, 1570]","[439, 1570]",[],2,2,0
48,"[99, 167, 372, 463, 486]","[99, 167, 372, 463, 486]",[],5,5,0
49,"[1387, 1455]","[1387, 1455]",[],2,2,0
50,"[462, 485]","[462, 485]",[],2,2,0
51,"[1432, 1524]","[1432, 1524]",[],2,2,0
52,[1456],[1456],[],1,1,0
53,[30],[30],[],1,1,0
