unique_satellite_id,predicted_gateways,actual_gateway_id,assigned_cells,actual_cell_ids
5,"[0, 1]",2,"[49, 125, 24]","[87, 912, 1021, 1137, 1154, 1158, 1315, 1338, 1357, 1440, 2529, 2883, 3217, 3521, 3988, 4015, 4190]"
7,"[0, 1]",34,"[137, 140, 54]","[176, 274, 312, 345, 399, 416, 445, 512, 586, 723, 826, 837, 933, 976, 1012, 1163, 1173, 1235, 1248, 1255, 1321, 1655, 1658, 1667, 1716, 1754, 1766, 1828, 1865, 1898, 1912, 1929, 1988, 2134, 2169, 2215, 2392, 2403, 2452, 2477, 2548, 2568, 2594, 2598, 2635, 2685, 2696, 2703, 2898, 2961, 3023, 3077, 3082, 3136, 3177, 3178, 3266, 3304, 3323, 3332, 3339, 3342, 3344, 3398, 3675, 3721, 3733, 3831, 3865, 3918, 3951, 3960, 3993, 4056, 4127, 4135, 4186, 4187, 4207, 4214, 4231, 4259, 4263, 4267, 4273, 4318]"
8,"[0, 1]",29,"[148, 170, 61]","[92, 108, 148, 163, 212, 303, 375, 536, 598, 713, 732, 820, 865, 873, 1028, 1103, 1106, 1135, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1653, 1661, 1899, 1971, 2007, 2021, 2035, 2205, 2218, 2309, 2367, 2465, 2638, 2724, 2920, 2934, 2992]"
28,"[0, 1]",2,"[343, 354, 349]","[144, 347, 483, 730, 1081, 1192, 1317, 1428, 1987, 2034, 2144, 2643, 3403, 3560, 3999, 4567]"
29,"[0, 1]",21,"[414, 421, 384]","[14, 86, 111, 231, 273, 302, 323, 348, 446, 550, 562, 613, 645, 663, 706, 894, 948, 1002, 1091, 1114, 1127, 1134, 1161, 1181, 1237, 1239, 1541, 1581, 1582, 1608, 1619, 1684, 1886, 1902, 1906, 1926, 1934, 1964, 2013, 2148, 2153, 2192, 2236, 2435, 2457, 2557, 2596, 2636, 2642, 2654, 2655, 2731, 2782, 2818, 2895, 3025, 3072, 3091, 3108, 3146, 3149, 3215, 3236, 3239, 3326, 3426, 3445, 3530, 3607, 3667, 3677, 3739, 3791, 3805, 3853, 3854, 3902, 3903, 4017, 4030, 4033, 4254, 4320, 4329]"
30,"[0, 1]",53,"[459, 474, 433]","[1, 13, 110, 264, 330, 340, 365, 376, 377, 381, 437, 543, 566, 614, 656, 666, 687, 698, 710, 740, 832, 920, 944, 963, 1132, 1147, 1191, 1249, 1273, 1418, 1425, 1650, 1715, 1749, 1769, 1794, 1803, 1919, 1979, 2024, 2086, 2101, 2114, 2128, 2159, 2342, 2381, 2397, 2500, 2521, 2558, 2648, 2653, 2723, 2753, 2858, 2974, 3037, 3049, 3068, 3084, 3145, 3227, 3307, 3481, 3544, 3549, 3622, 3707, 3716, 3944, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4402, 4447, 4480, 4490, 4516]"
51,"[0, 1]",8,"[897, 899, 729]","[2715, 2751, 2913, 2976, 3007, 3031, 3066, 3079, 3089, 3093, 3125, 3179, 3199, 3220, 3262, 3352, 3411, 3456, 3540, 3621, 3633, 3650, 3673, 3753, 3759, 3868, 3905, 3923, 4044, 4077, 4197, 4210, 4289, 4325, 4409, 4438, 4442, 4511, 4527, 4545, 4564]"
52,"[0, 1]",35,"[979, 984, 733]","[1155, 1341, 1362, 1513, 1515, 1578, 1703, 1706, 1782, 1868, 1925, 2100, 2160, 2251, 2318, 2415, 2815, 2843, 2984, 3098, 3120, 3240, 3263, 3287, 3452, 3488, 3548, 3591, 3685, 3727, 3832, 3940, 4010, 4069, 4114, 4240, 4277, 4279, 4290, 4328, 4423, 4509, 4554]"
53,"[0, 1]",14,"[986, 996, 783]","[60, 67, 136, 199, 226, 435, 468, 488, 591, 641, 649, 802, 891, 916, 978, 1001, 1063, 1107, 1109, 1212, 1217, 1335, 1360, 1395, 1516, 1566, 1601, 1611, 1660, 1709, 1733, 1839, 2152, 2242, 2277, 2288, 2450, 2673, 2721, 3593, 3735, 4074, 4446]"
74,"[0, 1]",9,"[1045, 1061, 851]","[131, 181, 204, 353, 395, 439, 534, 803, 829, 1060, 1085, 1130, 1213, 1266, 1492, 1587, 1690, 1707, 2326, 2470, 2580, 2652, 2910, 3172, 3329, 3340, 3930, 4367, 4374]"
