feed_sat,Latitude,Longitude,Altitude,Predicted Top-3 Gateways Model 1,Final Gateway Assignment Model 2,gw
1479,32.669616450556376,-95.62552954248544,544.981279307686,"36, 32, 17",17,20
30,42.405031789781006,-80.09503757279072,546.9433086085379,"27, 53, 16",53,53
188,51.011682644869765,-114.10687913735488,548.8919136955839,"3, 9, 8",8,5
189,53.09436419046605,-88.22192416457482,549.3666683099111,"19, 30, 31",31,30
1434,21.177483944627053,-93.78204060214532,543.3960658458528,"36, 24, 13",36,36
507,24.82432005565611,-86.61992551186258,543.7881371877902,"0, 24, 13",24,42
1341,33.78029522916803,-131.99104014577202,545.1826345954294,"7, 41, 18",41,41
1456,32.82920393641889,-100.81850887367412,545.0097750513718,"36, 17, 32",32,52
324,34.88974212389968,-120.39638921513352,545.3902587679783,"44, 41, 18",18,41
303,51.34192317523708,-87.37620240651147,548.9674442258097,"19, 31, 30",30,31
189,53.09436419046605,-88.22192416457482,549.3666683099111,"19, 30, 31",31,30
256,44.39015634006618,-119.71129664278207,547.3840738309456,"5, 23, 39",39,5
1479,32.669616450556376,-95.62552954248544,544.981279307686,"36, 32, 17",17,20
30,42.405031789781006,-80.09503757279072,546.9433086085379,"27, 53, 16",53,53
29,50.07784362022374,-100.48890726974632,548.6781313453627,"21, 46, 6",6,21
143,53.11528068069408,-98.97646894348983,549.3714043093086,"9, 21, 43",43,43
1409,43.370674784871134,-126.97344604989928,547.1570854285414,"40, 7, 23",23,39
303,51.34192317523708,-87.37620240651147,548.9674442258097,"19, 31, 30",30,31
484,24.65316588660442,-91.78561664782704,543.7672037234736,"24, 17, 42",42,17
416,35.50791785416817,-99.57900585868154,545.5089701521031,"36, 17, 32",32,10
531,36.42449020237304,-68.32932111607896,545.6884528788738,"26, 28, 48",48,26
1502,32.50973028671795,-90.43323371322998,544.9528803479366,"32, 17, 42",42,37
187,44.01685470613447,-135.50649285907386,547.3005310212313,"2, 7, 23",23,23
188,51.011682644869765,-114.10687913735488,548.8919136955839,"3, 9, 8",8,5
463,45.593144604521726,-66.98734154792277,547.6549943044926,"1, 28, 48",48,48
1434,21.177483944627053,-93.78204060214532,543.3960658458528,"36, 24, 13",36,36
416,35.50791785416817,-99.57900585868154,545.5089701521031,"36, 17, 32",32,10
1502,32.50973028671795,-90.43323371322998,544.9528803479366,"32, 17, 42",42,37
75,49.91444757295124,-89.83040789591855,548.6407187287858,"4, 21, 33",33,4
1571,32.02830789673553,-74.86039388051903,544.8682904127857,"0, 24, 13",13,15
280,51.27792471186204,-92.72430218846064,548.952811259842,"31, 43, 21",21,33
234,51.14684277614329,-103.41757548386896,548.922833227966,"6, 43, 9",9,6
1478,42.98292134472892,-111.20486149766236,547.0712077491554,"5, 46, 12",12,40
417,45.23911456800865,-82.81649333661015,547.5750171458932,"16, 33, 4",4,16
1409,43.370674784871134,-126.97344604989928,547.1570854285414,"40, 7, 23",23,39
234,51.14684277614329,-103.41757548386896,548.922833227966,"6, 43, 9",9,6
1387,33.30614568697859,-116.40160162182733,545.0958166870508,"45, 18, 44",44,49
531,36.42449020237304,-68.32932111607896,545.6884528788738,"26, 28, 48",48,26
75,49.91444757295124,-89.83040789591855,548.6407187287858,"4, 21, 33",33,4
1456,32.82920393641889,-100.81850887367412,545.0097750513718,"36, 17, 32",32,52
1456,32.82920393641889,-100.81850887367412,545.0097750513718,"36, 17, 32",32,52
142,50.87248712649167,-124.79213557700876,548.8600624888201,"3, 2, 40",40,3
302,44.63591396394187,-109.1755763196686,547.4392179250717,"5, 12, 46",12,3
143,53.11528068069408,-98.97646894348983,549.3714043093086,"9, 21, 43",43,43
1434,21.177483944627053,-93.78204060214532,543.3960658458528,"36, 24, 13",36,36
75,49.91444757295124,-89.83040789591855,548.6407187287858,"4, 21, 33",33,4
507,24.82432005565611,-86.61992551186258,543.7881371877902,"0, 24, 13",24,42
1526,20.47793336675211,-73.15591065156185,543.3341449446692,"24, 28, 13",13,13
1386,43.49876787254527,-132.23180477209027,547.1855301184457,"40, 7, 23",7,7
1525,32.349548273463206,-85.24161604042376,544.9245807977458,"0, 24, 42",42,0
507,24.82432005565611,-86.61992551186258,543.7881371877902,"0, 24, 13",24,42
461,24.3103041127708,-102.115652806993,543.7259899455565,"32, 45, 36",36,32
348,44.87913440109004,-98.63534868986989,547.4938999108832,"35, 6, 46",35,22
280,51.27792471186204,-92.72430218846064,548.952811259842,"31, 43, 21",21,33
395,51.58751320436291,-65.97430177285311,549.0235755513124,"1, 48, 28",28,28
417,45.23911456800865,-82.81649333661015,547.5750171458932,"16, 33, 4",4,16
1386,43.49876787254527,-132.23180477209027,547.1855301184457,"40, 7, 23",7,7
553,25.16606524559884,-76.28717561848984,543.8306458369926,"28, 24, 13",13,13
120,53.1239488425536,-104.35399468722191,549.3733660992596,"21, 9, 43",9,9
303,51.34192317523708,-87.37620240651147,548.9674442258097,"19, 31, 30",30,31
53,42.27219974744947,-74.84564627604203,546.9141565972635,"14, 26, 1",26,14
258,53.054055259545095,-72.0916833531662,549.3575362250987,"1, 48, 28",28,28
119,50.801389658946015,-130.13322308768352,548.8437906610344,"3, 40, 2",2,40
233,44.266339265814345,-124.9774760111379,547.356334162961,"39, 40, 23",23,23
279,44.51334965666668,-114.44399802874426,547.4117025104041,"46, 5, 12",12,12
144,49.662414428206,-73.8510651999088,548.5830068690454,"28, 48, 1",1,1
348,44.87913440109004,-98.63534868986989,547.4938999108832,"35, 6, 46",35,22
53,42.27219974744947,-74.84564627604203,546.9141565972635,"14, 26, 1",26,14
301,34.73433730928207,-125.5988192105222,545.360723191097,"7, 41, 18",18,18
439,35.661584680145545,-94.3727160858341,545.5387770120657,"20, 32, 17",17,47
143,53.11528068069408,-98.97646894348983,549.3714043093086,"9, 21, 43",43,43
301,34.73433730928207,-125.5988192105222,545.360723191097,"7, 41, 18",18,18
1571,32.02830789673553,-74.86039388051903,544.8682904127857,"0, 24, 13",13,15
531,36.42449020237304,-68.32932111607896,545.6884528788738,"26, 28, 48",48,26
280,51.27792471186204,-92.72430218846064,548.952811259842,"31, 43, 21",21,33
553,25.16606524559884,-76.28717561848984,543.8306458369926,"28, 24, 13",13,13
1480,20.82799982233432,-83.46825475400054,543.3645768216231,"28, 24, 13",13,13
1547,42.59006022139596,-95.44591626559236,546.9845647319526,"46, 33, 35",35,35
97,53.13142244368049,-109.73166165119716,549.3750568691294,"3, 8, 9",9,8
462,35.96784271242664,-83.95776432527485,545.5985269935228,"24, 0, 42",37,50
463,45.593144604521726,-66.98734154792277,547.6549943044926,"1, 28, 48",48,48
1409,43.370674784871134,-126.97344604989928,547.1570854285414,"40, 7, 23",23,39
348,44.87913440109004,-98.63534868986989,547.4938999108832,"35, 6, 46",35,22
1547,42.59006022139596,-95.44591626559236,546.9845647319526,"46, 33, 35",35,35
1386,43.49876787254527,-132.23180477209027,547.1855301184457,"40, 7, 23",7,7
1457,21.002815504756256,-88.62496553756594,543.3801901883303,"0, 24, 13",13,24
29,50.07784362022374,-100.48890726974632,548.6781313453627,"21, 46, 6",6,21
5,53.14935832691079,-131.2433243731845,549.3791073984836,"3, 40, 2",2,2
143,53.11528068069408,-98.97646894348983,549.3714043093086,"9, 21, 43",43,43
279,44.51334965666668,-114.44399802874426,547.4117025104041,"46, 5, 12",12,12
348,44.87913440109004,-98.63534868986989,547.4938999108832,"35, 6, 46",35,22
1454,50.50011605394055,-137.2887982915139,548.775340229431,"23, 40, 2",2,2
8,32.124823306428084,-69.97450595847258,544.8845615209575,"29, 24, 13",13,29
531,36.42449020237304,-68.32932111607896,545.6884528788738,"26, 28, 48",48,26
