cell_id,satellite_id,gateway_id
1,30,53
2,188,5
3,189,30
4,1434,36
5,507,42
6,1341,41
7,1456,52
8,324,41
9,303,31
10,189,30
11,256,5
13,30,53
14,29,21
15,143,43
16,1409,39
17,303,31
18,484,17
19,416,10
20,531,26
21,1502,37
22,187,23
23,188,5
24,463,48
25,1434,36
26,416,10
27,1502,37
28,75,4
29,1571,15
30,280,33
31,234,6
32,1478,40
33,417,16
34,1409,39
35,234,6
36,1387,49
37,531,26
38,75,4
39,1456,52
40,1456,52
41,142,3
42,302,3
43,143,43
44,1434,36
45,75,4
46,507,42
47,1526,13
48,1386,7
49,1525,0
50,507,42
51,461,32
52,348,22
53,280,33
54,395,28
55,417,16
56,1386,7
57,553,13
58,120,9
59,303,31
60,53,14
61,258,28
62,119,40
63,233,23
64,279,12
65,144,1
66,348,22
67,53,14
68,301,18
69,439,47
70,143,43
71,301,18
72,1571,15
73,531,26
74,280,33
75,553,13
76,1480,13
77,1547,35
78,97,8
79,462,50
80,463,48
81,1409,39
82,348,22
83,1547,35
84,1386,7
85,1457,24
86,29,21
87,5,2
88,143,43
89,279,12
90,348,22
91,1454,2
92,8,29
93,531,26
94,1386,7
95,463,48
96,1409,39
97,416,10
98,347,11
99,188,5
100,1409,39
101,121,27
102,301,18
103,189,30
104,143,43
105,348,22
106,1456,52
107,1432,51
108,8,29
109,234,6
110,30,53
111,29,21
112,256,5
113,463,48
114,1410,44
115,187,23
116,1547,35
117,1480,13
118,416,10
119,256,5
120,1546,5
121,371,25
122,1409,39
123,279,12
124,234,6
125,1457,24
126,1387,49
127,256,5
128,97,8
129,347,11
130,1432,51
131,74,9
132,1410,44
133,1456,52
134,507,42
135,507,42
136,53,14
137,1525,0
138,188,5
139,1477,40
140,1548,24
141,234,6
142,1387,49
143,417,16
144,28,2
145,1341,41
146,187,23
147,120,9
148,8,29
149,211,40
150,461,32
151,1387,49
152,1571,15
153,348,22
154,1410,44
155,461,32
156,347,11
157,144,1
158,256,5
159,187,23
160,1364,38
161,1501,46
162,416,10
163,8,29
164,1364,38
165,1477,40
166,189,30
167,371,25
168,1409,39
169,484,17
170,1548,24
171,462,50
172,279,12
173,530,37
174,1571,15
175,189,30
176,7,34
177,143,43
178,256,5
179,1525,0
180,484,17
181,74,9
182,553,13
183,167,48
184,507,42
185,1548,24
186,301,18
187,1456,52
188,143,43
189,1547,35
190,1409,39
191,98,19
192,392,18
193,417,16
194,1341,41
195,1457,24
196,143,43
197,462,50
198,1548,24
199,53,14
200,143,43
201,144,1
202,348,22
203,1386,7
204,74,9
205,531,26
206,324,41
207,120,9
208,280,33
209,1503,13
210,235,19
211,280,33
