Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
1479,20,"50, 20, 47",20
30,51,"4, 53, 34",53
188,17,"39, 43, 5",5
189,43,"43, 30, 31",30
1434,26,"42, 36, 17",36
507,33,"0, 17, 42",42
1341,41,"18, 7, 41",41
1456,2,"52, 47, 20",52
324,45,"41, 44, 38",41
303,47,"30, 19, 31",31
256,53,"5, 49, 51",5
29,51,"21, 6, 46",21
143,53,"9, 21, 43",43
1409,29,"23, 49, 39",39
484,7,"20, 17, 42",17
416,50,"22, 25, 47",10
531,33,"29, 26, 14",26
1502,50,"52, 47, 50",37
187,23,"7, 40, 23",23
463,39,"26, 48, 1",48
75,38,"21, 4, 33",4
1571,5,"24, 0, 15",15
280,25,"6, 33, 21",33
234,44,"8, 6, 46",6
1478,34,"38, 12, 11",40
417,33,"16, 34, 4",16
1387,52,"51, 44, 38",49
142,29,"40, 23, 3",3
302,17,"3, 11, 22",3
1526,50,"28, 24, 13",13
1386,4,"40, 23, 7",7
1525,40,"0, 37, 50",0
461,14,"17, 36, 32",32
348,18,"25, 22, 46",22
395,49,"41, 48, 28",28
553,1,"0, 24, 13",13
120,12,"21, 43, 9",9
53,9,"29, 16, 14",14
258,42,"48, 1, 28",28
119,41,"3, 2, 40",40
233,44,"23, 49, 39",23
279,27,"38, 11, 12",12
144,7,"28, 27, 1",1
301,47,"41, 49, 18",18
439,40,"25, 52, 47",47
1480,14,"42, 13, 24",13
1547,9,"35, 46, 22",35
97,21,"43, 3, 8",8
462,0,"16, 52, 50",50
1457,11,"17, 42, 24",24
5,6,"3, 40, 2",2
1454,8,"3, 40, 2",2
8,28,"14, 26, 29",29
347,31,"11, 38, 10",11
121,49,"19, 1, 27",27
1432,53,"39, 49, 51",51
1410,14,"45, 38, 10",44
1546,11,"43, 5, 39",5
371,32,"46, 25, 35",25
74,51,"3, 8, 9",9
1477,23,"23, 2, 40",40
1548,21,"24, 0, 37",24
28,31,"2, 40, 3",2
211,0,"3, 6, 46",40
1364,46,"18, 44, 38",38
1501,16,"8, 12, 22",46
530,46,"42, 24, 0",37
7,12,"16, 4, 34",34
167,40,"28, 1, 48",48
98,32,"4, 30, 19",19
392,1,"41, 44, 18",18
1503,49,"0, 24, 13",13
235,27,"1, 28, 19",19
213,3,"18, 48, 28",28
485,37,"50, 15, 53",50
1568,8,"16, 50, 2",2
1388,35,"17, 45, 36",36
1411,35,"32, 17, 36",36
304,6,"25, 48, 28",28
486,14,"1, 28, 48",48
438,26,"44, 45, 36",45
122,26,"1, 48, 28",28
349,8,"1, 27, 19",27
165,44,"8, 39, 9",9
278,21,"18, 7, 41",41
508,38,"14, 29, 15",29
190,36,"41, 28, 48",28
1524,49,"51, 11, 12",51
576,24,"0, 24, 13",13
370,53,"22, 11, 10",38
1500,27,"23, 40, 3",3
1570,3,"52, 35, 25",47
372,10,"28, 1, 48",48
99,35,"26, 1, 48",48
326,13,"27, 19, 30",28
418,46,"11, 18, 28",28
96,12,"3, 40, 2",2
509,39,"11, 48, 28",28
52,48,"35, 6, 33",35
440,15,"1, 26, 27",1
281,39,"25, 48, 28",28
415,46,"18, 45, 44",44
76,9,"1, 14, 26",14
166,51,"21, 31, 43",43
1523,23,"23, 8, 39",39
394,22,"35, 4, 34",4
210,30,"39, 23, 7",7
325,41,"35, 5, 12",12
1455,19,"51, 12, 38",49
257,35,"21, 9, 6",6
1569,38,"39, 5, 46",46
51,3,"9, 3, 8",8
