unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
0,50,42,"[21, 27, 72, 79, 173, 179, 197, 233, 243, 264, 296, 325, 326, 342, 365, 366, 377, 405, 429, 432, 448, 465, 476, 481, 530, 548, 566, 609, 614, 617, 687, 698, 711, 717, 756, 813, 832, 857, 882, 903, 922, 941, 945, 949, 956, 963, 964, 988, 1011, 1025, 1044, 1094, 1146, 1147, 1191, 1238, 1325, 1375, 1376, 1397, 1438, 1499]","[46, 50, 135, 246, 571, 755, 1058, 1403, 1575, 1728, 1888, 1938, 2939, 3062, 3071, 3131, 3519, 3552, 3554, 3625, 3712, 3838, 3871, 4142, 4195, 4237, 4455]"
20,2,40,"[1486, 1514, 1847, 1939, 2183, 2332, 3221, 3637, 3638, 3690, 3807]","[32, 587, 722, 938, 1072, 1242, 1435, 1960, 2307, 3112, 3171, 3222, 3373, 3476, 3680, 3693, 4219, 4550]"
21,12,3,"[1254, 1263, 1276, 1279, 1302, 1310, 1311, 1314, 1366, 1373, 1391, 1421, 1432, 1449, 1500, 1501, 1539, 1556, 1559, 1565, 1571, 1592, 1606, 1633, 1649, 1675, 1677, 1681, 1698, 1718, 1729, 1759, 1777, 1811, 1832, 1841, 1852, 1862, 1893, 1933, 1947, 1948, 1962, 1972, 1975, 1983, 2042, 2046, 2050, 2068, 2074, 2078, 2088, 2103, 2130, 2139, 2150, 2201, 2216, 2227, 2228, 2247, 2257, 2264, 2302, 2322, 2327, 2335, 2354, 2358, 2361, 2383, 2386, 2436]","[41, 361, 866, 1031, 1176, 1480, 1506, 1680, 1724, 1731, 1840, 2015, 2204, 2304, 2428, 2675, 2822, 2950, 3379, 3388, 3470, 3647, 3843, 3991, 4000, 4113, 4166, 4227]"
23,37,15,"[2841, 2875, 2878, 2930, 3006, 3013, 3029, 3060, 3070, 3141, 3202, 3271, 3277, 3306, 3463, 3490, 3520, 3550, 3705, 3749, 3798, 3855, 4062, 4126, 4148, 4151, 4163, 4180, 4188, 4220, 4233, 4293, 4306, 4314, 4340, 4352, 4403, 4425, 4463, 4464, 4467, 4520, 4546]","[29, 72, 152, 174, 249, 296, 414, 427, 500, 502, 617, 622, 688, 813, 835, 882, 892, 899, 956, 1011, 1045, 1094, 1138, 1146, 1178, 1289, 1309, 1388, 1408, 1438, 1588, 1646, 1647, 1659, 1676, 1763, 1773, 1816, 1916, 2038, 2111, 2119, 2259, 2363, 2364, 2432, 2661, 2676, 2787, 2800, 2841, 2878, 2930, 2955, 3006, 3187, 3202, 3219, 3268, 3271, 3418, 3490, 3515, 3520, 3527, 3533, 3550, 3586, 3604, 3649, 3928, 3978, 4011, 4128, 4130, 4212, 4242, 4248, 4310, 4319, 4324, 4352, 4407, 4467, 4486, 4546]"
43,40,2,[],"[87, 144, 483, 611, 730, 893, 1192, 1275, 1315, 1317, 1357, 1402, 1428, 1939, 2144, 2174, 2183, 2643, 3217, 3560, 3988, 4015, 4190, 4262, 4287, 4430, 4567]"
44,6,6,"[14, 31, 109, 124, 141, 213, 260, 273, 286, 305, 392, 410, 496, 503, 562, 645, 749, 855, 1002, 1014, 1047, 1134, 1181, 1484, 1518, 1541, 1619, 1684, 1873, 1885, 1887, 1902, 1910, 1926, 1964, 1965, 2064, 2148, 2236, 2410, 2435, 2459, 2542, 2636, 2654, 2768, 2784, 2810, 2854, 2874, 3000, 3025, 3057, 3058, 3072, 3091, 3215, 3239, 3416, 3530, 3692, 3805, 3828, 3834, 3903, 3961, 3986, 4075, 4320, 4405, 4537, 4542]","[31, 35, 109, 124, 141, 260, 286, 305, 392, 396, 409, 410, 493, 496, 515, 531, 551, 621, 674, 702, 855, 926, 940, 981, 1014, 1047, 1259, 1518, 1873, 1885, 1887, 1896, 1910, 1965, 2013, 2064, 2163, 2217, 2287, 2303, 2334, 2444, 2459, 2542, 2546, 2740, 2779, 2784, 2810, 2854, 2874, 3000, 3057, 3058, 3063, 3149, 3185, 3192, 3331, 3337, 3413, 3416, 3526, 3565, 3569, 3692, 3760, 3828, 3834, 3845, 3861, 3893, 3899, 3961, 3986, 4005, 4030, 4037, 4041, 4239, 4351, 4405, 4458, 4537, 4542]"
45,37,16,"[1337, 1345, 1365, 1387, 1388, 1390, 1407, 1430, 1482, 1528, 1594, 1604, 1646, 1657, 1672, 1730, 1755, 1773, 1804, 1924, 1956, 2021, 2028, 2063, 2097, 2098, 2108, 2110, 2117, 2259, 2333, 2355, 2356, 2363, 2365, 2401, 2432, 2532, 2617, 2656, 2657, 2661, 2676, 2679, 2725, 2762]","[33, 55, 143, 193, 215, 219, 222, 242, 263, 318, 467, 583, 612, 616, 647, 691, 1368, 1381, 1445, 1564, 1568, 1944, 1966, 1969, 2026, 2199, 2284, 2313, 2394, 2449, 2464, 2859, 3124, 3516, 3857, 3906, 4209, 4247, 4338, 4401, 4449]"
46,29,29,"[92, 108, 163, 212, 303, 375, 440, 536, 598, 732, 820, 865, 873, 891, 1063, 1103, 1106, 1135, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1653, 1899, 1971, 2035, 2205, 2218, 2309, 2367, 2465, 2525, 2638, 2920, 2934, 2992, 3020, 3021, 3214, 3292, 3301, 3363, 3430, 3437, 3446, 3505, 3523, 3525, 3577, 3583, 3589, 3616, 3651, 3684, 3696, 3754, 3888, 3962, 3972, 4022, 4091, 4125, 4160, 4238, 4513, 4518]","[92, 108, 148, 163, 212, 303, 327, 375, 440, 536, 598, 610, 713, 732, 745, 820, 865, 873, 909, 997, 1028, 1103, 1106, 1664, 1863, 2021, 2137, 2212, 2319, 2360, 2380, 2728, 2743, 2992, 3363, 3369, 3446, 3505, 3589, 3754, 3773, 4082, 4216]"
66,8,9,"[2535, 2884, 2903, 2911, 3125, 3199, 3647, 3923, 3985, 4166, 4398, 4524]","[58, 320, 439, 504, 648, 803, 1029, 1213, 1587, 1629, 1662, 1690, 1913, 2187, 2368, 2470, 2605, 2640, 2652, 2808, 3092, 3256, 3340, 3366, 3710, 3967, 4024, 4141, 4367]"
67,33,35,"[3, 28, 53, 166, 175, 208, 266, 277, 317, 333, 390, 494, 520, 578, 751, 780, 785, 1116, 1156, 1202, 1218, 1251, 1470, 1505, 1580, 1590, 1623, 1723, 1758, 1961, 1977, 2006, 2044, 2071, 2136, 2170, 2175, 2359, 2366, 2441, 2476, 2498, 2592, 2601, 2625, 2649, 2716, 2729, 2809, 2892, 2962, 2996, 3330, 3364, 3425, 3480, 3501, 3751, 3790, 3821, 3998, 4057, 4103, 4173, 4408, 4469, 4565]","[77, 83, 116, 189, 331, 379, 412, 434, 453, 466, 507, 599, 655, 670, 680, 724, 766, 771, 1037, 1078, 1155, 1341, 1362, 1411, 1513, 1578, 1706, 1767, 1782, 1868, 2091, 2100, 2160, 2251, 2318, 2415, 2748, 2815, 2843, 2984, 3098]"
