unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
5,2,2,[],"[87, 912, 1021, 1137, 1154, 1158, 1315, 1338, 1357, 1440, 2529, 2883, 3217, 3521, 3988, 4015, 4190]"
7,34,34,"[1, 274, 312, 345, 399, 416, 445, 512, 586, 723, 804, 826, 828, 933, 1012, 1132, 1163, 1235, 1255, 1321, 1418, 1425, 1658, 1828, 1898, 1912, 1929, 2134, 2159, 2215, 2417, 2568, 2594, 2685, 2703, 2761, 2804, 2898, 3082, 3177, 3178, 3304, 3323, 3398, 3424, 3549, 3622, 3675, 3716, 3733, 3744, 3831, 3951, 4056, 4186, 4207, 4231, 4259, 4263, 4273, 4274, 4318]","[176, 274, 312, 345, 399, 416, 445, 512, 586, 723, 826, 837, 933, 976, 1012, 1163, 1173, 1235, 1248, 1255, 1321, 1655, 1658, 1667, 1716, 1754, 1766, 1828, 1865, 1898, 1912, 1929, 1988, 2134, 2169, 2215, 2392, 2403, 2452, 2477, 2548, 2568, 2594, 2598, 2635, 2685, 2696, 2703, 2898, 2961, 3023, 3077, 3082, 3136, 3177, 3178, 3266, 3304, 3323, 3332, 3339, 3342, 3344, 3398, 3675, 3721, 3733, 3831, 3865, 3918, 3951, 3960, 3993, 4056, 4127, 4135, 4186, 4187, 4207, 4214, 4231, 4259, 4263, 4267, 4273, 4318]"
8,29,29,"[92, 108, 163, 212, 303, 375, 440, 536, 598, 732, 820, 865, 873, 891, 1063, 1103, 1106, 1135, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1653, 1899, 1971, 2035, 2205, 2218, 2309, 2367, 2465, 2525]","[92, 108, 148, 163, 212, 303, 375, 536, 598, 713, 732, 820, 865, 873, 1028, 1103, 1106, 1135, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1653, 1661, 1899, 1971, 2007, 2021, 2035, 2205, 2218, 2309, 2367, 2465, 2638, 2724, 2920, 2934, 2992]"
28,3,2,"[1139, 1192, 1262, 1315, 1317, 1428, 1440]","[144, 347, 483, 730, 1081, 1192, 1317, 1428, 1987, 2034, 2144, 2643, 3403, 3560, 3999, 4567]"
29,6,21,"[2087, 2104, 2148, 2153, 2236, 2298, 2410, 2435, 2459, 2542, 2555, 2569, 2596, 2636, 2642, 2654, 2731, 2768, 2784, 2810, 2854, 2874, 2895, 2927, 3000, 3002, 3025, 3057, 3058, 3072, 3091, 3146, 3149, 3170, 3181, 3196, 3215, 3236, 3239, 3326, 3341, 3399, 3416, 3426, 3445, 3530, 3629, 3644, 3667, 3677, 3692, 3725, 3732, 3805, 3817, 3820, 3828, 3834, 3845, 3853, 3854, 3902, 3903, 3961, 3974, 3983, 3986, 4001, 4017, 4030, 4033, 4075, 4143, 4152, 4254, 4272, 4320, 4329, 4357, 4405, 4412, 4501, 4515, 4537, 4542, 4553]","[14, 86, 111, 231, 273, 302, 323, 348, 446, 550, 562, 613, 645, 663, 706, 894, 948, 1002, 1091, 1114, 1127, 1134, 1161, 1181, 1237, 1239, 1541, 1581, 1582, 1608, 1619, 1684, 1886, 1902, 1906, 1926, 1934, 1964, 2013, 2148, 2153, 2192, 2236, 2435, 2457, 2557, 2596, 2636, 2642, 2654, 2655, 2731, 2782, 2818, 2895, 3025, 3072, 3091, 3108, 3146, 3149, 3215, 3236, 3239, 3326, 3426, 3445, 3530, 3607, 3667, 3677, 3739, 3791, 3805, 3853, 3854, 3902, 3903, 4017, 4030, 4033, 4254, 4320, 4329]"
30,53,53,"[13, 33, 55, 60, 110, 136, 152, 215, 318, 327, 330, 340, 376, 381, 427, 437, 467, 468, 488, 543, 583, 591, 610, 616, 656, 666, 710, 740, 745, 752, 763, 892, 909, 910, 920, 944, 978, 997, 1217, 1249, 1273, 1335, 1360, 1395, 1409, 1466, 1566, 1588, 1611, 1647, 1660, 1664, 1676, 1693, 1701, 1709, 1717, 1733, 1751, 1769, 1794, 1839, 1863, 1915, 1916, 1979, 1995, 2024, 2101, 2114, 2119, 2137, 2152, 2154, 2200, 2212, 2240, 2242, 2277, 2288, 2295, 2319, 2360, 2380, 2381, 2397, 2431, 2450, 2469, 2500, 2558, 2653, 2673, 2686, 2721, 2728, 2730, 2743, 2745, 2785, 2974, 3067, 3068, 3075, 3084, 3106, 3127, 3145, 3187, 3209, 3227, 3268, 3307, 3369, 3401, 3418, 3447, 3469, 3481, 3533, 3538, 3593, 3620, 3649, 3735, 3773, 3883, 3885, 3928, 3968, 4011, 4048, 4074, 4082, 4164, 4183, 4212, 4216, 4242, 4250, 4292, 4315, 4353, 4421, 4428, 4446, 4447, 4480, 4516, 4566]","[1, 13, 110, 264, 330, 340, 365, 376, 377, 381, 437, 543, 566, 614, 656, 666, 687, 698, 710, 740, 832, 920, 944, 963, 1132, 1147, 1191, 1249, 1273, 1418, 1425, 1650, 1715, 1749, 1769, 1794, 1803, 1919, 1979, 2024, 2086, 2101, 2114, 2128, 2159, 2342, 2381, 2397, 2500, 2521, 2558, 2648, 2653, 2723, 2753, 2858, 2974, 3037, 3049, 3068, 3084, 3145, 3227, 3307, 3481, 3544, 3549, 3622, 3707, 3716, 3944, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4402, 4447, 4480, 4490, 4516]"
51,3,8,"[3031, 3403, 3521, 3540, 3560, 3673]","[2715, 2751, 2913, 2976, 3007, 3031, 3066, 3079, 3089, 3093, 3125, 3179, 3199, 3220, 3262, 3352, 3411, 3456, 3540, 3621, 3633, 3650, 3673, 3753, 3759, 3868, 3905, 3923, 4044, 4077, 4197, 4210, 4289, 4325, 4409, 4438, 4442, 4511, 4527, 4545, 4564]"
52,6,35,"[14, 30, 31, 59, 86, 109, 111, 124, 141, 213, 260, 273, 286, 302, 305, 323, 348, 392, 410, 493, 496, 503, 508, 550, 562, 565, 577, 613, 645, 663, 679, 716, 721, 749, 765, 770, 777, 855, 862, 894, 923, 948, 966, 1002, 1014, 1047, 1077, 1114, 1127, 1134, 1161, 1181, 1215, 1237, 1253, 1256, 1455, 1469, 1477, 1484, 1489, 1518, 1541, 1581, 1582, 1608, 1619, 1684, 1798, 1869, 1871, 1873, 1885, 1886, 1887, 1896, 1902, 1906, 1907, 1910, 1926, 1934, 1964, 1965, 2013, 2064]","[1155, 1341, 1362, 1513, 1515, 1578, 1703, 1706, 1782, 1868, 1925, 2100, 2160, 2251, 2318, 2415, 2815, 2843, 2984, 3098, 3120, 3240, 3263, 3287, 3452, 3488, 3548, 3591, 3685, 3727, 3832, 3940, 4010, 4069, 4114, 4240, 4277, 4279, 4290, 4328, 4423, 4509, 4554]"
53,14,14,"[2519, 2545, 2561, 2597, 2623, 2680, 2698, 2709, 2798, 2811, 2851, 2893, 2901, 3161, 3175, 3210, 3284, 3353, 3359, 3375, 3377, 3393, 3464, 3479, 3510, 3513, 3581, 3623, 3663, 3699, 3724, 3789, 3826, 4058, 4087, 4118, 4174, 4185, 4194, 4206, 4327, 4348]","[60, 67, 136, 199, 226, 435, 468, 488, 591, 641, 649, 802, 891, 916, 978, 1001, 1063, 1107, 1109, 1212, 1217, 1335, 1360, 1395, 1516, 1566, 1601, 1611, 1660, 1709, 1733, 1839, 2152, 2242, 2277, 2288, 2450, 2673, 2721, 3593, 3735, 4074, 4446]"
74,8,9,[],"[131, 181, 204, 353, 395, 439, 534, 803, 829, 1060, 1085, 1130, 1213, 1266, 1492, 1587, 1690, 1707, 2326, 2470, 2580, 2652, 2910, 3172, 3329, 3340, 3930, 4367, 4374]"
75,4,4,"[2313, 2323, 2373, 2382, 2389, 2394, 2407, 2424, 2437, 2449, 2452, 2458, 2464, 2521, 2560, 2562, 2598, 2603, 2610, 2620, 2627, 2629, 2635, 2666, 2827, 2835, 2859, 2861, 2877, 2879, 2885, 3039, 3053, 3054, 3096, 3124, 3255, 3312, 3316, 3332, 3344, 3361, 3381, 3454, 3474, 3507, 3516, 3546, 3559, 3563, 3609, 3612, 3614, 3632, 3676, 3702, 3704, 3706, 3729, 3743, 3808, 3857, 3906, 3908, 3918, 3922, 3960, 3965, 4063, 4073, 4098, 4100, 4120, 4175, 4192, 4209, 4214, 4226, 4236, 4247, 4267, 4295, 4337, 4338, 4341, 4344, 4401, 4449, 4462, 4521, 4531, 4559]","[28, 38, 45, 251, 278, 311, 339, 351, 360, 398, 428, 442, 444, 475, 522, 556, 561, 572, 629, 650, 720, 774, 819, 828, 881, 889, 915, 918, 1013, 1024, 1099, 1179, 1193, 1231, 1330, 1443, 1467, 1494, 1593, 1780, 2027, 2102, 2125, 2214]"
