unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
5,2,8,"[2332, 3221, 3637, 3638, 3690, 3807, 3815, 3912]","[78, 128, 220, 254, 369, 600, 632, 750, 761, 827, 846, 890, 946, 1004, 1005, 1083, 1139, 1227, 1262, 1371, 1433, 1538, 1639, 1777, 1787, 1820, 1946, 2010, 2257, 2331, 2340, 2541, 2583, 2585, 2659, 2714, 2715, 2751, 2803, 2848, 2913, 2976, 3007, 3031, 3066, 3079, 3089, 3093, 3125, 3179, 3199, 3220, 3262, 3283, 3352, 3411, 3427, 3438, 3456, 3540, 3621, 3633, 3650, 3673, 3753, 3759, 3868, 3905, 3923, 4044, 4077, 4197, 4210, 4257, 4289, 4325, 4409, 4438, 4442, 4511, 4527, 4545, 4564]"
7,34,34,"[2417, 2568, 2594, 2685, 2703, 2761, 2804, 2898, 3082, 3177, 3178, 3304, 3323, 3398, 3424, 3549, 3622, 3675, 3716, 3733, 3744, 3831, 3951, 4056, 4186, 4207, 4231, 4259, 4263, 4273, 4274, 4318]","[176, 274, 312, 345, 399, 416, 445, 512, 586, 723, 826, 837, 933, 976, 1012, 1163, 1173, 1235, 1248, 1255, 1321, 1655, 1658, 1667, 1716, 1754, 1766, 1828, 1865, 1898, 1912, 1929, 1988, 2134, 2169, 2215, 2392, 2403, 2452, 2477, 2548, 2568, 2594, 2598, 2635, 2685, 2696, 2703, 2898, 2961, 3023, 3077, 3082, 3136, 3177, 3178, 3266, 3304, 3323, 3332, 3339, 3342, 3344, 3398, 3675, 3721, 3733, 3831, 3865, 3918, 3951, 3960, 3993, 4056, 4127, 4135, 4186, 4187, 4207, 4214, 4231, 4259, 4263, 4267, 4273, 4318]"
8,29,29,"[20, 67, 73, 92, 93, 108, 163, 212, 226, 276, 303, 372, 375, 435, 440, 456, 485, 495, 505, 536, 598, 601, 641, 649, 713, 732, 748, 802, 820, 865, 870, 873, 891, 911, 916, 1001, 1063, 1103, 1106, 1107, 1109, 1118, 1135, 1150, 1212, 1216, 1295, 1350, 1363, 1389, 1516, 1529, 1531, 1542, 1550, 1573, 1653, 1661, 1734, 1836, 1864, 1899, 1945, 1971, 1992, 2020, 2035, 2184, 2198, 2205, 2218, 2254, 2291, 2309, 2367, 2369, 2465, 2519, 2525]","[92, 148, 212, 713, 732, 865, 873, 1028, 1103, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1653, 1661, 1899, 1971, 2007, 2035, 2205, 2309, 2367, 2465, 2638, 2920, 2934, 3020, 3021, 3214, 3292, 3301, 3386, 3430, 3437, 3523, 3616, 3684, 3888, 3972, 4022]"
28,3,3,"[1315, 1317, 1338, 1402, 1428, 1440, 1639, 1848]","[41, 394, 618, 651, 715, 779, 866, 942, 1069, 1148, 1187, 1358, 1401, 1452, 1461, 1493, 1506, 1574, 1598, 1700, 1731, 1840, 2015, 2040, 2099, 2126, 2140, 2204, 2304, 2428, 2535, 2684, 2822, 2903, 3015, 3211, 3355, 3470, 3837, 3991, 4122, 4166, 4227, 4375]"
29,6,6,"[30, 31, 59, 86, 109, 111, 124, 141, 260, 286, 302, 305, 323, 348, 392, 410, 493, 496, 508, 550, 565, 577, 613, 663, 679, 716, 721, 749, 765, 770, 777, 855, 862, 894, 923, 948, 966, 1014, 1047, 1077, 1114, 1127, 1161, 1181, 1215, 1237, 1253, 1256, 1455, 1469, 1477, 1484, 1489, 1518, 1581, 1582, 1608, 1619, 1798, 1869, 1871, 1873, 1885, 1886, 1887, 1896, 1902, 1906, 1907, 1910, 1934, 1964, 1965, 2013, 2064, 2087, 2104, 2153, 2298, 2410, 2459, 2542, 2555, 2569, 2596, 2636, 2642, 2731, 2768, 2784, 2810, 2854, 2874, 2895, 2927, 3000, 3002, 3025, 3057, 3058, 3146, 3149, 3170, 3181, 3196, 3236, 3239, 3326, 3341, 3399, 3416, 3426, 3445, 3530, 3629, 3644, 3667, 3677, 3692, 3725, 3732, 3805, 3817, 3820, 3828, 3834, 3845, 3853, 3854, 3902, 3961, 3974, 3983, 3986, 4001, 4017, 4030, 4033, 4075, 4143, 4152, 4254, 4272, 4329, 4357, 4405, 4412, 4501, 4515, 4537, 4542, 4553]","[31, 35, 109, 124, 141, 260, 286, 305, 392, 396, 409, 410, 493, 496, 515, 531, 551, 621, 674, 702, 855, 926, 940, 981, 1014, 1047, 1259, 1518, 1873, 1885, 1887, 1896, 1910, 1965, 2064, 2163, 2217, 2287, 2334, 2444, 3192, 4239]"
30,16,16,"[2324, 2391, 2398, 2402, 2405, 2429, 2433, 2475, 2505, 2516, 2517, 2531, 2534, 2797, 2820, 2899, 2928, 2932, 2948, 2967, 2971, 3045, 3100, 3111, 3133, 3165, 3167, 3189, 3200, 3237, 3247, 3295, 3298, 3320, 3343, 3432, 3576, 3645, 3670, 3701, 3709, 3762, 3811, 3915, 3932, 3955, 3964, 3969, 4064, 4067, 4085, 4138, 4165, 4202, 4234, 4286, 4331, 4339, 4363, 4372, 4382, 4433, 4454, 4492, 4557]","[33, 55, 143, 193, 215, 219, 222, 242, 263, 318, 467, 583, 612, 616, 647, 671, 691, 712, 752, 763, 900, 1122, 1261, 1368, 1381, 1409, 1445, 1466, 1564, 1568, 1944, 1966, 1969, 2199, 2284, 2313, 2464, 3516, 3857, 4247, 4401, 4449]"
51,3,2,"[144, 347, 483, 848, 1008, 1081, 1139, 1158, 1192, 1262]","[87, 362, 730, 893, 912, 1021, 1158, 1192, 1232, 1315, 1317, 1402, 1428, 1440, 1939, 1987, 2034, 2079, 2332, 2883, 3221, 3521, 3560, 4280, 4418, 4522, 4567]"
52,33,21,"[2350, 2359, 2476, 2560, 2562, 2603, 2627, 2629, 2649, 2716, 2809, 2835, 2879, 2892, 3316, 3330, 3364, 3480, 3507, 3546, 3563, 3609, 3612, 3614, 3702, 3706, 3729, 3743, 3751, 3790, 3808, 3922, 4063, 4098, 4100, 4103, 4120, 4226, 4236, 4295, 4462, 4469, 4521]","[14, 86, 111, 231, 273, 302, 323, 348, 446, 550, 562, 613, 645, 663, 706, 894, 948, 1002, 1091, 1114, 1127, 1134, 1161, 1181, 1237, 1239, 1541, 1581, 1582, 1608, 1619, 1684, 1886, 1902, 1906, 1926, 1934, 1964, 2557, 3025, 3239]"
53,14,16,[],"[1612, 1689, 1693, 1701, 1717, 1751, 1813, 1915, 1949, 1959, 2026, 2051, 2154, 2186, 2189, 2200, 2240, 2295, 2300, 2394, 2437, 2531, 2730, 2785, 2859, 2899, 3067, 3075, 3106, 3124, 3127, 3361, 3454, 3620, 3883, 3885, 3906, 4192, 4209, 4337, 4338, 4344, 4428, 4566]"
74,8,9,"[41, 254, 600, 779, 827, 846, 861, 890, 1004, 1433, 1598, 1680, 1700, 1724, 2535, 2884, 2903, 2911, 3125, 3199, 3647, 3923, 3985, 4166, 4398, 4524]","[58, 147, 207, 320, 523, 546, 648, 858, 1265, 1334, 1485, 1662, 1817, 1913, 2093, 2234, 2368, 2484, 2488, 2605, 2911, 3256, 3366, 3405, 3539, 3971, 4141, 4316]"
