unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
5,40,2,"[2294, 2375, 2988, 3680, 3693, 3823, 4219, 4287, 4370, 4418, 4522]","[87, 611, 1008, 1021, 1081, 1137, 1232, 1315, 1317, 1338, 2079, 2643, 2883, 3403, 3815, 4190, 4262]"
6,46,46,"[35, 218, 301, 350, 409, 551, 674, 836, 902, 1152, 1245, 1259, 1332, 1553, 1600, 1637, 1703, 1719, 1726, 1791, 2143, 2163, 2255, 2256, 2287, 2334, 2444, 2483, 2740, 2890, 2943, 3038, 3192, 3331, 3337, 3472, 3565, 3569, 3611, 3617, 3634, 3728, 3742, 3760, 3869, 3942, 3954, 3956, 4037, 4041, 4083, 4239, 4269, 4351, 4381, 4458, 4488, 4544, 4561]","[2485, 2506, 2733, 2755, 2799, 2817, 2828, 2890, 2943, 3001, 3005, 3038, 3043, 3137, 3182, 3235, 3472, 3492, 3611, 3613, 3617, 3634, 3728, 3742, 3747, 3769, 3842, 3869, 3942, 3954, 3956, 4036, 4083, 4269, 4297, 4381, 4404, 4416, 4488, 4544, 4561]"
7,53,34,"[3369, 3401, 3418, 3447, 3469, 3481, 3533, 3538, 3593, 3620, 3649, 3735, 3773, 3883, 3885, 3928, 3968, 4011, 4048, 4074, 4082, 4164, 4183, 4212, 4216, 4242, 4250, 4292, 4315, 4353, 4421, 4428, 4446, 4447, 4480, 4516, 4566]","[176, 274, 312, 345, 399, 416, 445, 512, 586, 723, 826, 837, 933, 976, 1012, 1163, 1173, 1235, 1248, 1255, 1321, 1655, 1658, 1667, 1716, 1754, 1766, 1828, 1865, 1898, 1912, 1929, 1988, 2134, 2169, 2215, 2392, 2403, 2452, 2477, 2548, 2568, 2594, 2598, 2635, 2685, 2696, 2703, 2898, 2961, 3023, 3077, 3082, 3136, 3177, 3178, 3266, 3304, 3323, 3332, 3339, 3342, 3344, 3398, 3675, 3721, 3733, 3831, 3865, 3918, 3951, 3960, 3993, 4056, 4127, 4135, 4186, 4187, 4207, 4214, 4231, 4259, 4263, 4267, 4273, 4318]"
28,3,8,"[1137, 1139, 1158, 1192, 1242, 1262, 1315, 1317, 1338, 1357, 1402, 1428, 1440]","[78, 128, 220, 254, 369, 600, 632, 761, 827, 846, 890, 1004, 1005, 1083, 1139, 1227, 1262, 1371, 1433, 1538, 1639, 1787, 1820, 2010, 2331, 2340, 2541, 2583, 2585, 2715, 2751, 2913, 2976, 3007, 3031, 3066, 3079, 3089, 3125, 3199, 3220, 3262]"
29,6,46,"[2410, 2459, 2542, 2636, 2768, 2784, 2810, 2854, 2874, 3000, 3025, 3057, 3058, 3239, 3416, 3530, 3692, 3805, 3828, 3834, 3961, 3986, 4075, 4405, 4537, 4542]","[161, 218, 301, 350, 383, 464, 537, 564, 589, 631, 701, 800, 815, 816, 836, 902, 934, 950, 1075, 1088, 1152, 1245, 1332, 1366, 1553, 1570, 1600, 1637, 1677, 1719, 1726, 1791, 1823, 2074, 2143, 2247, 2255, 2256, 2316, 2361, 2467, 2483, 2565]"
30,53,53,"[2240, 2242, 2277, 2288, 2295, 2319, 2360, 2380, 2381, 2397, 2431, 2450, 2469, 2500, 2558, 2653, 2673, 2686, 2721, 2728, 2730, 2743, 2745, 2785, 2974, 3067, 3068, 3075, 3084, 3106, 3127, 3145, 3187, 3209, 3227, 3268, 3307]","[1, 13, 110, 264, 330, 340, 365, 376, 377, 381, 437, 543, 566, 614, 656, 666, 687, 698, 710, 740, 832, 920, 944, 963, 1132, 1147, 1191, 1249, 1273, 1418, 1425, 1650, 1715, 1749, 1769, 1794, 1803, 1919, 1979, 2024, 2086, 2101, 2114, 2128, 2159, 2342, 2381, 2397, 2500, 2521, 2558, 2648, 2653, 2723, 2753, 2858, 2974, 3037, 3049, 3068, 3084, 3145, 3227, 3307, 3481, 3544, 3549, 3622, 3707, 3716, 3944, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4402, 4447, 4480, 4490, 4516]"
51,3,9,"[2099, 2144, 2529, 2585, 2643, 2669, 2675, 2697, 2883, 2938, 2976, 3007, 3015]","[131, 204, 353, 395, 439, 534, 803, 1085, 1213, 1266, 1492, 1587, 1707, 2326, 2368, 2580, 2652, 2910, 2911, 3092, 3256, 3340, 3366, 3930, 3967, 4141, 4367, 4374]"
52,33,6,"[3316, 3330, 3364, 3480, 3507, 3546, 3563, 3609, 3612, 3614, 3702, 3706, 3729, 3743, 3751, 3790, 3808, 3922, 4063, 4098, 4100, 4103, 4120, 4226, 4236, 4295, 4462, 4469, 4521]","[31, 35, 109, 124, 141, 260, 286, 305, 392, 396, 409, 410, 493, 496, 515, 531, 551, 621, 674, 702, 855, 926, 940, 981, 1014, 1047, 1259, 1518, 1873, 1885, 1887, 1896, 1910, 1965, 2064, 2163, 2217, 2287, 2298, 2303, 2334]"
53,14,14,"[2519, 2545, 2561, 2597, 2623, 2680, 2698, 2709, 2798, 2811, 2851, 2893, 2901, 3161, 3175, 3210, 3284, 3353, 3359, 3375, 3377, 3393, 3464, 3479, 3510, 3513, 3581, 3623, 3663, 3699, 3724, 3789, 3826, 4058, 4087, 4118, 4174, 4185, 4194, 4206, 4327, 4348]","[60, 67, 136, 199, 226, 435, 468, 488, 591, 641, 649, 802, 891, 916, 978, 1001, 1063, 1107, 1109, 1212, 1217, 1335, 1360, 1395, 1516, 1566, 1601, 1611, 1660, 1709, 1733, 1839, 1864, 1992, 1995, 2020, 2152, 2242, 2254, 2277, 2288, 2321, 2369, 2431, 2450, 2469, 2519, 2525, 2534, 2545, 2561, 2673, 2686, 2698, 2721, 2851, 2893, 2932, 3209, 3375, 3447, 3464, 3469, 3538, 3576, 3577, 3583, 3593, 3623, 3735, 3789, 3932, 3962, 3968, 4048, 4074, 4091, 4164, 4183, 4185, 4292, 4315, 4348, 4372, 4421, 4446]"
73,2,2,"[1514, 1847, 1939, 2183, 2332]","[91, 362, 1203, 1292, 1514, 1815, 2158, 2294, 2332, 2375, 3638, 3690, 3823, 3912, 4211, 4280, 4418, 4422, 4522]"
74,3,8,"[87, 144, 347, 483, 582, 848, 907, 912, 973, 1008, 1021, 1081]","[750, 946, 1777, 1946, 2257, 2659, 2714, 2803, 2848, 3093, 3179, 3283, 3352, 3411, 3427, 3438, 3456, 3540, 3621, 3633, 3650, 3673, 3753, 3759, 3868, 3905, 3923, 4044, 4077, 4197, 4210, 4257, 4289, 4325, 4409, 4438, 4442, 4511, 4527, 4545, 4564]"
75,33,19,"[28, 53, 208, 238, 277, 278, 304, 311, 339, 351, 404, 442, 561, 629, 774, 780, 785, 889, 971, 1128, 1156, 1179, 1193, 1202, 1307, 1379, 1453, 1467, 1488]","[191, 304, 482, 578, 1016, 1128, 1251, 1447, 1460, 1488, 1523, 1796, 1903, 1940, 2120, 2136, 2142, 2151, 2213, 2285, 2323, 2449, 2601, 2603, 2666, 2729, 2879, 3054, 3381, 3474, 3507, 3546, 3563, 3612, 3632, 3676, 3706, 3743, 4057, 4295, 4408, 4531, 4559]"
76,26,26,"[2563, 2591, 2593, 2626, 2632, 2739, 2773, 2776, 2780, 2801, 2807, 2819, 2852, 2857, 2907, 2940, 2972, 2979, 3047, 3114, 3116, 3118, 3238, 3275, 3285, 3297, 3354, 3358, 3441, 3462, 3512, 3597, 3605, 3624, 3653, 3697, 3806, 3884, 3898, 3920, 3950, 3975, 3982, 4025, 4040, 4050, 4096, 4119, 4182, 4204, 4249, 4305, 4347, 4362, 4366, 4424, 4434, 4443, 4460, 4461, 4475, 4500, 4549, 4562]","[73, 205, 221, 276, 495, 505, 607, 821, 968, 1216, 1529, 1550, 1734, 1836, 1911, 2198, 2239, 2291, 2597, 2709, 2901, 3353, 3479, 3950, 4058, 4087, 4174, 4194, 4475, 4492]"
96,2,40,"[91, 245, 611, 884, 893, 919]","[32, 62, 139, 587, 722, 938, 1072, 1242, 1286, 1312, 1435, 1545, 1770, 2503, 2871, 3171, 3373, 3391, 3433, 3455, 3618, 3693, 3824, 3916, 4000, 4131, 4219, 4386]"
