unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
1432,20,20,"[0, 12, 155, 216, 217, 246, 269, 306, 313, 389, 419, 441, 487, 513, 516, 518, 532, 627, 636, 708, 773, 784, 847, 868, 876, 880, 939, 947, 977, 982, 1046, 1068, 1074, 1076, 1104, 1141, 1162, 1177, 1190, 1194, 1229, 1271, 1285, 1323, 1403, 1404, 1414, 1426, 1478, 1490, 1496, 1586, 1617, 1635, 1656, 1692, 1710, 1748, 1760, 1771, 1830, 1857, 1914, 2023, 2033, 2047, 2062, 2073, 2075, 2112, 2122, 2147, 2182, 2202, 2230, 2231, 2243, 2246, 2265, 2268, 2311, 2338, 2346, 2446, 2495, 2496, 2501, 2518, 2551, 2559, 2584, 2588, 2615, 2677, 2766, 2771, 2786, 2806, 2824, 2853, 2876, 2886, 2888, 2941, 2944, 2958, 2983, 2985, 3099, 3134, 3150, 3160, 3162, 3166, 3168, 3188, 3204, 3250, 3334, 3370, 3376, 3382, 3390, 3429, 3439, 3440, 3448, 3453, 3458, 3468, 3475, 3509, 3514, 3518, 3522, 3566, 3578, 3678, 3715, 3722, 3779, 3810, 3909, 3935, 3938, 3947, 3976, 3979, 4012, 4035, 4054, 4060, 4061, 4065, 4068, 4071, 4079, 4088, 4090, 4097, 4145, 4147, 4322, 4323, 4346, 4379, 4397, 4465]","[0, 12, 269, 313, 518, 532, 627, 683, 784, 847, 880, 953, 977, 982, 1046, 1126, 1162, 1177, 1190, 1271, 1293, 1404, 1414, 1496, 1586, 1620, 1748, 1771, 2073, 2075, 2112, 2122, 2147, 2157, 2182, 2202, 2246, 2265, 2268, 2311, 2399, 2494, 2495, 2526, 2559, 2588, 2771, 2786, 2806, 2824, 2921, 2983, 2985, 3012, 3166, 3188, 3249, 3250, 3257, 3334, 3370, 3376, 3412, 3440, 3468, 3509, 3522, 3671, 3779, 3810, 3847, 3909, 3938, 3947, 3976, 4012, 4035, 4060, 4065, 4068, 4071, 4097, 4323, 4465]"
29,53,53,"[13, 33, 55, 60, 110, 136, 152, 215, 318, 327, 330, 340, 376, 381, 427, 437, 467, 468, 488, 543, 583, 591, 610, 616, 656, 666, 710, 740, 745, 752, 763, 892, 909, 910, 920, 944, 978, 997, 1217, 1249, 1273, 1335, 1360, 1395, 1409, 1466, 1566, 1588, 1611, 1647, 1660, 1664, 1676, 1693, 1701, 1709, 1717, 1733, 1751, 1769, 1794, 1839, 1863, 1915, 1916, 1979, 1995, 2024, 2101, 2114, 2119, 2137, 2152, 2154, 2200]","[1, 13, 110, 330, 365, 376, 377, 437, 614, 666, 687, 698, 832, 1132, 1418, 1425, 1650, 1715, 1749, 1769, 1803, 2086, 2114, 2159, 2500, 2521, 2723, 2858, 2974, 3068, 3227, 3549, 3716, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4480, 4490]"
5,46,5,"[2480, 2482, 2483, 2484, 2485, 2506, 2507, 2542, 2546, 2565, 2572, 2573, 2574, 2580, 2605, 2636, 2655, 2704, 2732, 2733, 2740, 2755, 2764, 2779, 2782, 2784, 2799, 2805, 2810, 2817, 2818, 2828, 2831, 2839, 2850, 2854, 2864, 2887, 2890, 2943, 2953, 2978, 2991, 3005, 3038, 3040, 3043, 3057, 3058, 3108, 3137, 3182, 3192, 3206, 3235, 3242, 3246, 3258, 3309, 3319, 3328, 3331, 3337, 3340, 3362, 3367, 3368, 3371, 3405, 3416, 3417, 3436, 3472, 3492, 3502, 3526, 3532, 3537, 3561, 3565, 3569, 3607, 3611, 3617, 3634, 3728, 3739, 3742, 3752, 3760, 3768, 3791, 3805, 3828, 3834, 3842, 3851, 3869, 3893, 3899, 3942, 3954, 3956, 3961, 3986, 3989, 4009, 4023, 4036, 4037, 4041, 4072, 4083, 4107, 4109, 4170, 4221, 4239, 4269, 4297, 4316, 4351, 4377, 4381, 4384, 4404, 4405, 4416, 4427, 4457, 4458, 4478, 4488, 4542, 4544, 4561]","[2, 11, 23, 99, 112, 119, 120, 127, 138, 158, 178, 259, 334, 387, 454, 575, 605, 667, 796, 1090, 1143, 1633, 1852, 1972, 2155, 2616, 2704, 2919, 2953, 2956, 2957, 3103, 3371, 3483, 3579, 3682, 3879, 4009, 4023, 4478, 4498, 4534]"
188,30,30,"[3, 103, 166, 175, 191, 210, 266, 267, 275, 297, 317, 333, 364, 373, 388, 390, 401, 494, 520, 578, 625, 714, 751, 806, 841, 843, 849, 878, 967, 985, 1035, 1042, 1105, 1112, 1116, 1125, 1136, 1172, 1218, 1251, 1305]","[3, 10, 103, 166, 175, 225, 237, 238, 266, 390, 457, 494, 520, 563, 581, 606, 625, 685, 751, 814, 823, 1172, 1307, 1453, 1470, 1505, 1580, 1590, 1610, 1623, 1665, 1695, 1806, 2045, 2069, 2092, 2170, 2250, 2252, 2314, 2348, 2366, 2418]"
437,36,36,"[2260, 2269, 2275, 2282, 2337, 2347, 2370, 2377, 2419, 2443, 2523, 2549, 2550, 2579, 2600, 2604, 2683, 2720, 2757, 2821, 2826, 2842, 2847, 2866, 2881, 2915, 2964, 3051, 3055, 3113, 3121, 3183, 3194, 3208, 3213, 3264, 3293, 3315, 3336, 3338, 3400, 3420, 3428, 3459, 3497, 3524, 3545, 3590, 3643, 3648, 3719, 3737, 3860, 3862, 3863, 3872, 3875, 3878, 3881, 3910, 3934, 3941, 3973, 4006, 4026, 4042, 4051, 4105, 4168, 4198, 4201, 4215, 4230, 4256, 4261, 4268, 4311, 4317, 4355, 4361, 4426, 4451, 4517, 4523]","[4, 25, 44, 250, 252, 344, 397, 417, 460, 553, 574, 686, 695, 762, 767, 792, 824, 839, 840, 901, 1038, 1043, 1080, 1115, 1186, 1205, 1313, 1342, 1419, 1427, 1554, 1614, 1704, 1753, 1870, 1875, 1883, 1976, 1985, 2018, 2041, 2083, 2113, 2156, 2176, 2219, 2221, 2275, 2337, 2347, 2419, 2443, 2523, 2550, 2600, 2604, 2683, 2720, 2821, 2842, 2847, 2964, 3113, 3293, 3336, 3400, 3420, 3459, 3545, 3590, 3719, 3737, 3862, 3878, 3881, 3973, 4026, 4051, 4105, 4201, 4215, 4230, 4256, 4361, 4517, 4523]"
506,42,42,"[5, 27, 50, 79, 85, 125, 134, 135, 140, 173, 184, 185, 197, 198, 224, 232, 235, 326, 335, 357, 385, 411, 545, 571, 608, 755, 756, 759, 856, 857, 903, 922, 957, 986, 1033, 1036, 1058, 1084, 1087, 1089, 1129, 1151, 1165, 1180, 1209, 1211, 1228, 1290, 1318, 1337, 1345, 1353, 1355, 1375, 1387, 1390, 1397, 1399, 1407, 1458, 1475, 1482, 1499, 1503, 1510, 1528, 1536, 1544, 1575, 1583, 1604, 1657, 1666, 1683, 1713, 1732, 1762, 1784, 1810, 1827, 1880, 1888, 1924, 1928, 1935, 1938, 1956, 1963, 1999, 2070, 2077, 2098, 2108]","[5, 46, 50, 134, 135, 184, 246, 306, 357, 385, 389, 411, 545, 571, 755, 856, 957, 1036, 1058, 1089, 1165, 1228, 1290, 1318, 1353, 1355, 1399, 1403, 1426, 1475, 1503, 1536, 1575, 1713, 1728, 1805, 1888, 1938, 1963, 1999, 2023, 2190, 2262, 2496, 2612, 2615, 2631, 2769, 2775, 2862, 2939, 2981, 2987, 3042, 3050, 3061, 3062, 3071, 3090, 3131, 3155, 3439, 3477, 3519, 3535, 3552, 3554, 3625, 3678, 3712, 3793, 3809, 3838, 3871, 3929, 4142, 4195, 4237, 4271, 4340, 4420, 4436, 4455, 4479]"
1363,41,41,"[6, 36, 48, 63, 94, 102, 126, 142, 145, 194, 203, 206, 227, 289, 291, 337, 352, 363, 367, 431, 478, 499, 511, 526, 533, 552, 558, 569, 588, 652, 662, 665, 689, 727, 734, 741, 757, 817, 853, 872, 886, 962, 974, 993, 994, 1015, 1019, 1054, 1056, 1065, 1096, 1097, 1168, 1171, 1240, 1343, 1384, 1422, 1423, 1429, 1431, 1434, 1436, 1464, 1530]","[6, 8, 289, 291, 853, 993, 1019, 1422, 1429, 1436, 1530, 1874, 1884, 1991, 1993, 2048, 2116, 2196, 2203, 2237, 2274, 2352, 2409, 2522, 2628, 2651, 2756, 2925, 3044, 3122, 3152, 3173, 3657, 3777, 3830, 3895, 3959, 4116, 4294, 4307, 4439, 4444]"
1569,52,52,"[1, 7, 106, 133, 171, 187, 228, 233, 243, 274, 312, 328, 345, 398, 399, 408, 416, 428, 444, 445, 481, 512, 514, 530, 556, 572, 586, 609, 704, 711, 720, 723, 769, 781, 804, 819, 826, 828, 837, 881, 933, 945, 949, 964, 976, 988, 1012, 1013, 1024, 1070, 1082, 1132, 1163, 1173, 1195, 1204, 1235, 1248, 1255, 1258, 1270, 1321, 1330, 1376, 1417, 1418, 1425, 1443, 1472, 1512, 1655, 1658, 1667, 1694, 1708, 1716, 1720, 1742, 1766, 1788, 1799, 1807, 1828, 1865, 1898, 1912, 1922, 1929, 1968, 1988, 1994, 2027, 2049, 2076, 2134, 2159, 2169, 2210, 2215, 2258, 2290, 2351, 2362, 2378]","[7, 39, 40, 106, 133, 187, 228, 253, 328, 380, 408, 436, 514, 516, 555, 570, 692, 704, 769, 781, 1204, 1258, 1270, 1323, 1393, 1446, 1472, 1487, 1512, 1535, 1634, 1694, 1708, 1720, 1742, 1788, 1881, 1905, 1922, 1974, 1997, 2195, 2210, 2258, 2343, 2378, 2384, 2479, 2543, 2595, 2619, 2667, 2700, 2727, 2836, 3017, 3018, 3097, 3148, 3218, 3228, 3232, 3396, 3407, 3448, 3491, 3498, 3557, 3564, 3631, 3765, 3867, 4003, 4008, 4013, 4028, 4115, 4283, 4313, 4358, 4431, 4437, 4493, 4495, 4539]"
165,31,31,"[9, 10, 17, 211, 225, 237, 307, 400, 457, 563, 581, 606, 685, 746, 788, 814, 823, 927, 928, 955, 1041, 1098, 1157, 1220, 1241, 1244, 1250, 1277, 1448, 1563, 1615, 1640, 1665, 1901, 1973, 2045, 2058, 2069, 2092, 2094, 2124, 2250, 2252, 2292, 2314, 2348, 2371, 2416, 2418, 2473, 2537, 2590, 2602, 2606, 2678, 2760, 2774, 2796, 2856, 2870, 2880, 2889, 2902, 2937, 2947, 2966, 3130, 3132, 3231, 3259, 3261, 3294, 3423, 3435, 3450, 3487, 3542, 3551, 3689, 3774, 3781, 3814, 3864, 3877, 3890, 3892, 3970, 3990, 3994, 4059, 4137, 4155, 4304, 4535, 4551, 4552, 4568]","[9, 17, 59, 307, 400, 503, 508, 565, 577, 679, 716, 721, 746, 765, 770, 777, 788, 862, 923, 927, 928, 966, 991, 1041, 1077, 1215, 1241, 1244, 1250, 1253, 1277, 1455, 1469, 1477, 1489, 1563, 1615, 1640, 1869, 1871, 1901, 1907, 1973]"
256,43,21,"[14, 213, 273, 503, 562, 645, 991, 1002, 1134, 1541, 1684, 1926, 2148, 2236, 2435]","[14, 86, 111, 231, 273, 302, 323, 348, 446, 550, 562, 613, 645, 663, 706, 894, 948, 1002, 1091, 1114, 1127, 1134, 1161, 1181, 1237, 1239, 1541, 1581, 1582, 1608, 1619, 1684, 1886, 1902, 1906, 1926, 1934, 1964, 2013, 2148, 2153, 2192, 2236, 2435, 2457, 2557, 2596, 2636, 2642, 2654, 2655, 2731, 2782, 2818, 2895, 3025, 3072, 3091, 3108, 3146, 3149, 3215, 3236, 3239, 3326, 3426, 3445, 3530, 3607, 3667, 3677, 3739, 3791, 3805, 3853, 3854, 3902, 3903, 4017, 4030, 4033, 4254, 4320, 4329]"
