file,unused_gateways
file_data_10_00_00.csv,"[1, 17, 18, 19, 20, 25, 32, 33, 38]"
file_data_10_00_20.csv,"[1, 20, 21, 24, 31, 37, 47]"
file_data_10_00_40.csv,"[6, 17, 21, 24, 31, 33, 37, 47, 52]"
file_data_10_01_00.csv,"[15, 17, 24, 32, 35, 37, 38, 47, 52]"
file_data_10_01_20.csv,"[10, 12, 18, 23, 24, 26, 31, 32, 35, 36, 38, 42, 47, 52]"
file_data_10_01_40.csv,"[4, 18, 26, 31, 36, 37, 38, 47]"
file_data_10_02_00.csv,"[4, 18, 20, 25, 35]"
file_data_10_02_20.csv,"[4, 20, 31, 35, 37, 47]"
file_data_10_02_40.csv,"[4, 31, 35, 37, 39]"
file_data_10_03_00.csv,"[0, 20, 24, 31, 35, 37]"
